origin	variety	Yield Potential	Quality potential at high altitude	Optimal Altitude	Coffee leaf rust	Nematode	Coffee Berry Disease
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	ruiru 11	Very High	Good	Low, Medium, High	Tolerant	Susceptible	Resistant
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	ruiru 11	Very High	Good	Low, Medium, High	Tolerant	Susceptible	Resistant
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	ruiru 11	Very High	Good	Low, Medium, High	Tolerant	Susceptible	Resistant
Kenia	sl34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	batian	High	Very Good	Low	Tolerant	Susceptible	Resistant
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl14	High	Good	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	batian	High	Very Good	Low	Tolerant	Susceptible	Resistant
Kenia	ruiru 11	Very High	Good	Low, Medium, High	Tolerant	Susceptible	Resistant
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	ruiru 11	Very High	Good	Low, Medium, High	Tolerant	Susceptible	Resistant
Kenia	batian	High	Very Good	Low	Tolerant	Susceptible	Resistant
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	batian	High	Very Good	Low	Tolerant	Susceptible	Resistant
Kenia	ruiru 11	Very High	Good	Low, Medium, High	Tolerant	Susceptible	Resistant
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	ruiru 11	Very High	Good	Low, Medium, High	Tolerant	Susceptible	Resistant
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	sl34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kenia	batian	High	Very Good	Low	Tolerant	Susceptible	Resistant
Kenia	ruiru 11	Very High	Good	Low, Medium, High	Tolerant	Susceptible	Resistant
Kenia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kolumbia	geisha	Medium	Exceptional	High	Tolerant	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	pacamara	Good	Exceptional	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	typica	Low	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	typica	Low	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	typica	Low	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	geisha	Medium	Exceptional	High	Tolerant	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	sl14	High	Good	Medium, High	Susceptible	Susceptible	Susceptible
Kolumbia	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	typica	Low	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kolumbia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	marsellesa	High	Good	Low, Medium	Resistant	Susceptible	Tolerant
Kostaryka	obata	High	Good	Low, Medium	Resistant	Unknown	Unknown
Kostaryka	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kostaryka	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	villa sarchi	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kostaryka	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	marsellesa	High	Good	Low, Medium	Resistant	Susceptible	Tolerant
Kostaryka	obata	High	Good	Low, Medium	Resistant	Unknown	Unknown
Kostaryka	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	h3	High	Very Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Kostaryka	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	mundo novo	High	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Kostaryka	obata	High	Good	Low, Medium	Resistant	Unknown	Unknown
Kostaryka	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Meksyk	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Meksyk	geisha	Medium	Exceptional	High	Tolerant	Susceptible	Susceptible
Meksyk	anacafe 14	High	Good	Medium, High	Resistant	Susceptible	Susceptible
Meksyk	geisha	Medium	Exceptional	High	Tolerant	Susceptible	Susceptible
Meksyk	typica	Low	Very Good	High	Susceptible	Susceptible	Susceptible
Meksyk	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Meksyk	pacas	Good	Good	High	Susceptible	Susceptible	Susceptible
Meksyk	anacafe 14	High	Good	Medium, High	Resistant	Susceptible	Susceptible
Meksyk	anacafe 14	High	Good	Medium, High	Resistant	Susceptible	Susceptible
Meksyk	anacafe 14	High	Good	Medium, High	Resistant	Susceptible	Susceptible
Meksyk	anacafe 14	High	Good	Medium, High	Resistant	Susceptible	Susceptible
Meksyk	anacafe 14	High	Good	Medium, High	Resistant	Susceptible	Susceptible
Meksyk	anacafe 14	High	Good	Medium, High	Resistant	Susceptible	Susceptible
Meksyk	geisha	Medium	Exceptional	High	Tolerant	Susceptible	Susceptible
Meksyk	anacafe 14	High	Good	Medium, High	Resistant	Susceptible	Susceptible
Meksyk	anacafe 14	High	Good	Medium, High	Resistant	Susceptible	Susceptible
Meksyk	typica	Low	Very Good	High	Susceptible	Susceptible	Susceptible
Meksyk	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Meksyk	pacas	Good	Good	High	Susceptible	Susceptible	Susceptible
Meksyk	anacafe 14	High	Good	Medium, High	Resistant	Susceptible	Susceptible
Meksyk	anacafe 14	High	Good	Medium, High	Resistant	Susceptible	Susceptible
Meksyk	anacafe 14	High	Good	Medium, High	Resistant	Susceptible	Susceptible
Other	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Other	typica	Low	Very Good	High	Susceptible	Susceptible	Susceptible
Other	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Other	java	Medium	Very Good	High	Tolerant	Susceptible	Tolerant
Other	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Other	nyasaland	Good	Good	Medium, High	Susceptible	Unknown	Susceptible
Other	sl14	High	Good	Medium, High	Susceptible	Susceptible	Susceptible
Other	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Other	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Other	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Other	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Other	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Other	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Other	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Other	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Other	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Other	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Other	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Other	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Other	sl34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Other	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Other	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Other	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Peru	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Peru	mundo novo	High	Good	High	Susceptible	Susceptible	Susceptible
Peru	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Peru	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Peru	mundo novo	High	Good	High	Susceptible	Susceptible	Susceptible
Peru	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Peru	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Peru	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Peru	typica	Low	Very Good	High	Susceptible	Susceptible	Susceptible
Peru	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Peru	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Peru	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Peru	typica	Low	Very Good	High	Susceptible	Susceptible	Susceptible
Peru	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Peru	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Peru	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Peru	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	geisha	Medium	Exceptional	High	Tolerant	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Rwanda	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Salwador	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Salwador	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Salwador	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Salwador	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Salwador	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Salwador	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Salwador	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Salwador	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Salwador	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Salwador	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Salwador	pacamara	Good	Exceptional	High	Susceptible	Susceptible	Susceptible
Salwador	sl28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Salwador	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Salwador	pacamara	Good	Exceptional	High	Susceptible	Susceptible	Susceptible
Tanzania	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Tanzania	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Tanzania	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Tanzania	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Tanzania	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Tanzania	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Tanzania	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Tanzania	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Tanzania	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Tanzania	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Tanzania	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
